class,support,before_precision,before_recall,before_f1,after_precision,after_recall,after_f1,delta_f1
document,525,0.05460750853242321,0.09142857142857143,0.06837606837606838,1.0,1.0,1.0,0.9316239316239316
screenshot,525,0.12380952380952381,0.024761904761904763,0.04126984126984127,1.0,1.0,1.0,0.9587301587301588
food,525,0.17579908675799086,0.44,0.25122349102773245,0.9980952380952381,0.9980952380952381,0.9980952380952381,0.7468717470675057
landscape,525,0.15076923076923077,0.09333333333333334,0.11529411764705882,0.9980988593155894,1.0,0.9990485252140818,0.883754407567023
portrait,525,0.5,0.0019047619047619048,0.003795066413662239,1.0,0.9980952380952381,0.9990467111534795,0.9952516447398173
